label,cca,goodput_mbps,p95_rtt_ms,loss_rate,jain,handovers,n_flows
gen_fast/CUBIC,CUBIC,6.4432,134.3366976352642,0.0014216990957332497,1.0,7,1
gen_fast/BBRv3approx,BBRv3approx,65.38112,188.6213259473495,0.011780638608314322,1.0,7,1
gen_fast/LeoAware,LeoAware,63.362026666666665,146.91642450408705,0.011210911621062865,1.0,6,1
gen_fast/LeoAware+hints,LeoAware,71.66592,144.11827407319169,0.008848356459831294,1.0,7,1
trace/LeoAware,LeoAware,37.74144,136.925,0.005953166921855904,1.0,3,1
trace/LeoAware+hints,LeoAware,39.1152,136.925,0.006052507467379343,1.0,3,1
multi/LeoAware,LeoAware,54.12992,95.96207428864126,0.0015425418886694001,0.6107146832953044,3,3
multi/LeoAware,LeoAware,26.48362666666667,95.96207428864126,0.03332762299294514,0.6107146832953044,3,3
multi/LeoAware,LeoAware,0.9646933333333334,95.96207428864126,0.46956011730205277,0.6107146832953044,3,3
multi/LeoAware_fair,LeoAware,49.40394666666666,148.31415463295954,0.001562880615322266,0.6103950097987432,3,3
multi/LeoAware_fair,LeoAware,24.45077333333333,148.31415463295954,0.03436625888855188,0.6103950097987432,3,3
multi/LeoAware_fair,LeoAware,0.7458133333333333,148.31415463295954,0.5139719171416655,0.6103950097987432,3,3
multi/CUBIC,CUBIC,8.864853333333334,106.69230543551923,0.0008535808317003089,0.9942727343639923,3,3
multi/CUBIC,CUBIC,10.443093333333334,106.69230543551923,0.0007246746619035469,0.9942727343639923,3,3
multi/CUBIC,CUBIC,8.991786666666666,106.69230543551923,0.0007941681977123215,0.9942727343639923,3,3
