scenario,seed,cca,goodput_mbps,avg_rtt_ms,p95_rtt_ms,p99_rtt_ms,loss_rate,jain_fairness,handovers
leo_fast_ho,13,CUBIC,6.4432,65.3908431162401,134.3366976352642,141.6417889240662,0.0014216990957332497,1.0,7
leo_fast_ho,13,BBRv3approx,65.38112,116.1683891631563,188.6213259473495,188.6213259473495,0.011780638608314322,1.0,7
leo_fast_ho,13,LeoAware,83.31925333333332,103.61058673090336,138.1614854221772,138.1614854221772,0.010794765222721183,1.0,8
leo_fast_ho,7,CUBIC,4.5136,78.19721718807152,122.63164599032004,169.8293815882876,0.001981178801386825,1.0,8
leo_fast_ho,7,BBRv3approx,90.78325333333333,71.7017690347287,111.25620022888846,111.25620022888846,0.012302511100228156,1.0,6
leo_fast_ho,7,LeoAware,79.07626666666667,96.82347402591098,175.03223672016028,175.03223672016028,0.008268664024154505,1.0,7
leo_fast_ho,42,CUBIC,4.611413333333333,78.42640242481792,142.47320636299204,142.47320636299204,0.00198531788171199,1.0,7
leo_fast_ho,42,BBRv3approx,62.54933333333334,84.32306787468289,116.17186336441814,116.17186336441814,0.01751681731743891,1.0,7
leo_fast_ho,42,LeoAware,85.48757333333333,82.61916282779413,149.45208641643137,149.45208641643137,0.008350707440654793,1.0,6
leo_fast_ho,99,CUBIC,5.869013333333333,71.73981269964946,115.33918376619673,119.40393842115921,0.0015605719677723744,1.0,7
leo_fast_ho,99,BBRv3approx,65.38528,102.62265399893217,156.51095507579615,156.51095507579615,0.01705832832230908,1.0,7
leo_fast_ho,99,LeoAware,66.0688,95.80815885768955,165.63414694189515,165.63414694189515,0.012488281773135127,1.0,7
leo_fast_ho,123,CUBIC,5.925333333333333,68.28262258189174,109.25129007820682,158.71697344291763,0.0017610695802185163,1.0,8
leo_fast_ho,123,BBRv3approx,70.31050666666667,88.46393676765115,121.60431565983241,121.60431565983241,0.015016213146844787,1.0,7
leo_fast_ho,123,LeoAware,76.35445333333332,84.47734164387087,120.39962516579502,120.39962516579502,0.01175556163006773,1.0,7
leo_single,13,CUBIC,7.98464,62.23948917031847,122.95939084598079,122.95939084598079,0.0008409081808353022,1.0,4
leo_single,13,BBRv3approx,46.229546666666664,74.70288946581184,108.63490589127773,108.63490589127773,0.02165708042510542,1.0,4
leo_single,13,LeoAware,78.66144,122.05932861314112,168.39209667063065,168.39209667063065,0.006773246417411917,1.0,4
leo_single,7,CUBIC,5.78368,75.80904369746355,134.76324063241034,134.76324063241034,0.0011053387863380127,1.0,4
leo_single,7,BBRv3approx,66.38432,92.88941235050136,161.61106159243928,161.61106159243928,0.014456469068001939,1.0,4
leo_single,7,LeoAware,74.63029333333333,87.8935434531895,120.27890100090886,120.27890100090886,0.005804667606402328,1.0,4
leo_single,42,CUBIC,7.692053333333333,64.73753143608052,124.70604866872675,189.25538020337382,0.0008867090624437148,1.0,4
leo_single,42,BBRv3approx,64.54965333333334,106.59708151994971,163.20701793608282,163.20701793608282,0.00974459506339305,1.0,4
leo_single,42,LeoAware,89.39253333333333,109.01387560641427,136.90503508304192,136.90503508304192,0.006913231479495526,1.0,4
leo_single,99,CUBIC,9.337173333333334,56.84441626255028,106.20170747678367,106.20170747678367,0.000753407456450766,1.0,3
leo_single,99,BBRv3approx,60.23690666666666,89.92092032446887,117.7358483066379,117.7358483066379,0.01674791935090713,1.0,3
leo_single,99,LeoAware,79.69973333333333,104.40203908923627,164.06099996920477,164.06099996920477,0.006372535330202918,1.0,3
leo_single,123,CUBIC,6.247573333333333,80.65453864883973,174.9681865556798,174.9681865556798,0.0008358921869669055,1.0,3
leo_single,123,BBRv3approx,54.53888,83.65071931681045,105.44517478604676,105.44517478604676,0.017239092703610234,1.0,4
leo_single,123,LeoAware,39.50101333333333,60.65654845109059,118.20786636948593,118.20786636948593,0.002117981827392565,1.0,4
terrestrial,13,CUBIC,14.51632,39.99999999999999,40.0,40.0,0.00048473631446166725,1.0,0
terrestrial,13,BBRv3approx,78.81232,40.00000000000002,40.0,40.0,0.012268019530975846,1.0,0
terrestrial,13,LeoAware,77.7608,40.00000000000002,40.0,40.0,0.0007093656831499949,1.0,0
terrestrial,7,CUBIC,12.42944,39.99999999999999,40.0,40.0,0.0005917921008619581,1.0,0
terrestrial,7,BBRv3approx,78.81136,40.00000000000002,40.0,40.0,0.01228401213562544,1.0,0
terrestrial,7,LeoAware,76.97152,40.000000000000014,40.0,40.0,0.0007249372171135035,1.0,0
terrestrial,42,CUBIC,14.61776,39.99999999999999,40.0,40.0,0.0004923090387939522,1.0,0
terrestrial,42,BBRv3approx,78.81504,40.00000000000002,40.0,40.0,0.012239872628324155,1.0,0
terrestrial,42,LeoAware,77.51424,40.000000000000014,40.0,40.0,0.0006807014938303692,1.0,0
terrestrial,99,CUBIC,14.0008,40.0,40.0,40.0,0.0004911591355599214,1.0,0
terrestrial,99,BBRv3approx,78.80976,40.00000000000002,40.0,40.0,0.012294161526553464,1.0,0
terrestrial,99,LeoAware,77.75184,40.00000000000002,40.0,40.0,0.0007567080731292552,1.0,0
terrestrial,123,CUBIC,14.01472,40.0,40.0,40.0,0.0005362909207088168,1.0,0
terrestrial,123,BBRv3approx,78.81216,40.00000000000002,40.0,40.0,0.012273986007535638,1.0,0
terrestrial,123,LeoAware,77.144,40.00000000000002,40.0,40.0,0.0007046778171568322,1.0,0
