scenario,seed,cca,goodput_mbps,p95_rtt_ms,p95_path_rtt_ms,p95_excess_rtt_ms,loss_rate,handovers,ascent_applied
leo_fast_ho,13,endpoint,96.64842666666667,72.21163933117715,68.2116393311751,7.999999999998411,0.01077030910186649,7,0
leo_fast_ho,13,hybrid,96.28,72.21163933117715,68.2116393311751,7.999999999998411,0.010691817006072031,7,14
leo_fast_ho,13,BBRv3approx,97.31434666666667,72.21163933117715,68.2116393311751,7.999999999998411,0.012191662462022863,7,0
terrestrial,13,endpoint,78.62672,46.000000000000945,40.0,6.000000000000942,0.01081543509329898,0,0
terrestrial,13,hybrid,78.62672,46.000000000000945,40.0,6.000000000000942,0.01081543509329898,0,0
leo_fast_ho,7,endpoint,75.01333333333334,67.81399906136456,63.81399906136251,10.000000000001563,0.012580559104758427,8,0
leo_fast_ho,7,hybrid,74.93973333333332,67.81399906136456,63.81399906136251,8.000000000004095,0.011677388406453583,8,16
leo_fast_ho,7,BBRv3approx,75.08416,67.81399906136456,63.81399906136251,10.000000000001563,0.015404369956652918,8,0
terrestrial,7,endpoint,78.61248,46.000000000000945,40.0,6.000000000000942,0.010912956040173206,0,0
terrestrial,7,hybrid,78.61248,46.000000000000945,40.0,6.000000000000942,0.010912956040173206,0,0
leo_fast_ho,42,endpoint,80.67370666666667,97.55511216494665,87.55511216494864,9.999999999998003,0.010950842825197139,7,0
leo_fast_ho,42,hybrid,80.58218666666667,93.55511216494958,87.55511216494864,9.999999999998003,0.009783437887490464,7,14
leo_fast_ho,42,BBRv3approx,81.2496,97.55511216494665,87.55511216494864,9.99999999999801,0.014222762891400988,7,0
terrestrial,42,endpoint,78.62384,46.000000000000945,40.0,6.000000000000942,0.010251989470058752,0,0
terrestrial,42,hybrid,78.62384,46.000000000000945,40.0,6.000000000000942,0.010251989470058752,0,0
leo_fast_ho,99,endpoint,72.82581333333333,64.09179554502283,58.70085099956821,10.000000000005116,0.013300190044006387,7,0
leo_fast_ho,99,hybrid,72.69024,64.09179554502283,58.70085099956821,10.000000000005116,0.013158923653045797,7,14
leo_fast_ho,99,BBRv3approx,72.98186666666668,64.09179554502283,58.70085099956821,10.000000000005116,0.015464377395848923,7,0
terrestrial,99,endpoint,78.63376,46.000000000000945,40.0,6.000000000000942,0.010826422993317769,0,0
terrestrial,99,hybrid,78.63376,46.000000000000945,40.0,6.000000000000942,0.010826422993317769,0,0
leo_fast_ho,123,endpoint,85.28181333333333,79.6478658631168,75.64786586311762,9.99999999999801,0.011280682727397516,8,0
leo_fast_ho,123,hybrid,85.18805333333333,79.6478658631168,75.64786586311762,9.99999999999801,0.0110860571749809,8,16
leo_fast_ho,123,BBRv3approx,85.56522666666667,81.64786586311642,75.64786586311762,9.99999999999801,0.013595169878140256,8,0
terrestrial,123,endpoint,78.6192,46.000000000000945,40.0,6.000000000000942,0.010794553199713326,0,0
terrestrial,123,hybrid,78.6192,46.000000000000945,40.0,6.000000000000942,0.010794553199713326,0,0
