scenario,seed,cca,path_profile,openslot,goodput_mbps,avg_rtt_ms,p95_rtt_ms,p99_rtt_ms,p95_path_rtt_ms,p95_excess_rtt_ms,mean_excess_rtt_ms,loss_rate,jain_fairness,handovers
terrestrial,13,CUBIC,ope_v36,True,14.02096,42.00652737045099,42.00000000000031,42.00000000000031,40.0,2.000000000000314,2.0065273704509914,0.0005132533418495369,1.0,0
terrestrial,13,BBRv3approx,ope_v36,True,78.91376,44.98698528621597,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.986985286215962,0.012276180005246915,1.0,0
terrestrial,13,LeoAware,ope_v36,True,79.04032,44.75218318954146,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.752183189541466,0.010614818286327713,1.0,0
terrestrial,7,CUBIC,ope_v36,True,12.74464,42.01235342857852,42.00000000000031,42.00000000000031,40.0,2.000000000000314,2.012353428578519,0.0006022433565029735,1.0,0
terrestrial,7,BBRv3approx,ope_v36,True,78.91088,44.98700914246524,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.987009142465244,0.012312227515865911,1.0,0
terrestrial,7,LeoAware,ope_v36,True,79.04448,44.78543321431146,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.785433214311462,0.010861882899892483,1.0,0
terrestrial,42,CUBIC,ope_v36,True,13.05776,42.00610211858685,42.00000000000031,42.00000000000031,40.0,2.000000000000314,2.006102118586848,0.000514371792830637,1.0,0
terrestrial,42,BBRv3approx,ope_v36,True,78.91152,44.986924089156794,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.986924089156789,0.012294326866078151,1.0,0
terrestrial,42,LeoAware,ope_v36,True,79.0544,44.724965087331995,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.7249650873319915,0.010272065510458357,1.0,0
terrestrial,99,CUBIC,ope_v36,True,14.53744,42.013493434882534,42.00000000000031,42.00000000000031,40.0,2.000000000000314,2.013493434882526,0.0004620411216598277,1.0,0
terrestrial,99,BBRv3approx,ope_v36,True,78.91488,44.98702804844888,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.987028048448882,0.012258205347469355,1.0,0
terrestrial,99,LeoAware,ope_v36,True,79.0528,44.79779792746086,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.797797927460862,0.010801341408478903,1.0,0
terrestrial,123,CUBIC,ope_v36,True,12.156,42.01332017110882,42.00000000000031,42.00000000000031,40.0,2.000000000000314,2.0133201711088216,0.000683967537848396,1.0,0
terrestrial,123,BBRv3approx,ope_v36,True,78.91072,44.98702330938024,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.987023309380244,0.012304340163737444,1.0,0
terrestrial,123,LeoAware,ope_v36,True,79.0416,44.76886297848194,46.000000000000945,46.000000000000945,40.0,6.000000000000942,4.76886297848194,0.010804836145340665,1.0,0
