t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
0.0000,20.000,10.000,244.8000,244.8000,0.000100,0
0.0500,26.000,13.000,266.4000,266.4000,0.000100,0
0.1000,24.000,12.000,372.0000,372.0000,0.000100,0
0.1500,24.000,12.000,391.2000,391.2000,0.000100,0
0.2000,24.000,12.000,441.6000,441.6000,0.000100,0
0.2500,24.000,12.000,408.0000,408.0000,0.000100,0
0.3000,24.000,12.000,439.2000,439.2000,0.000100,0
0.3500,24.000,12.000,429.6000,429.6000,0.000100,0
0.4000,22.000,11.000,420.0000,420.0000,0.000100,0
0.4500,28.000,14.000,451.2000,451.2000,0.000100,0
0.5000,26.000,13.000,417.6000,417.6000,0.000100,0
0.5500,26.000,13.000,417.6000,417.6000,0.000100,0
0.6000,20.000,10.000,453.6000,453.6000,0.000100,0
0.6500,20.000,10.000,417.6000,417.6000,0.000100,0
0.7000,26.000,13.000,441.6000,441.6000,0.000100,0
0.7500,20.000,10.000,427.2000,427.2000,0.000100,0
0.8000,20.000,10.000,444.0000,444.0000,0.000100,0
0.8500,24.000,12.000,427.2000,427.2000,0.000100,0
0.9000,26.000,13.000,446.4000,446.4000,0.000100,0
0.9500,30.000,15.000,427.2000,427.2000,0.000100,0
1.0000,28.000,14.000,420.0000,420.0000,0.000100,0
1.0500,24.000,12.000,453.6000,453.6000,0.000100,0
1.1000,24.000,12.000,420.0000,420.0000,0.000100,0
1.1500,22.000,11.000,417.6000,417.6000,0.000100,0
1.2000,24.000,12.000,456.0000,456.0000,0.000100,0
1.2500,22.000,11.000,403.2000,403.2000,0.000100,0
1.3000,24.000,12.000,302.4000,302.4000,0.000100,0
1.3500,22.000,11.000,290.4000,290.4000,0.000100,0
1.4000,24.000,12.000,336.0000,336.0000,0.000100,0
1.4500,24.000,12.000,427.2000,427.2000,0.000100,0
1.5000,22.000,11.000,444.0000,444.0000,0.000100,0
1.5500,28.000,14.000,427.2000,427.2000,0.000100,0
1.6000,22.000,11.000,444.0000,444.0000,0.000100,0
1.6500,24.000,12.000,424.8000,424.8000,0.000100,0
1.7000,26.000,13.000,417.6000,417.6000,0.000100,0
1.7500,20.000,10.000,393.6000,393.6000,0.000100,0
1.8000,24.000,12.000,288.0000,288.0000,0.000100,0
1.8500,26.000,13.000,388.8000,388.8000,0.000100,0
1.9000,26.000,13.000,451.2000,451.2000,0.000100,0
1.9500,24.000,12.000,412.8000,412.8000,0.000100,0
2.0000,24.000,12.000,441.6000,441.6000,0.000100,0
2.0500,28.000,14.000,422.4000,422.4000,0.000100,0
2.1000,24.000,12.000,446.4000,446.4000,0.000100,0
2.1500,26.000,13.000,427.2000,427.2000,0.000100,0
2.2000,34.000,17.000,444.0000,444.0000,0.000100,0
2.2500,24.000,12.000,429.6000,429.6000,0.000100,0
2.3000,24.000,12.000,345.6000,345.6000,0.000100,0
2.3500,22.000,11.000,304.8000,304.8000,0.000100,0
2.4000,24.000,12.000,345.6000,345.6000,0.000100,0
2.4500,34.000,17.000,309.6000,309.6000,0.000100,0
2.5000,20.000,10.000,319.2000,319.2000,0.000100,0
2.5500,26.000,13.000,417.6000,417.6000,0.000100,0
2.6000,20.000,10.000,444.0000,444.0000,0.000100,0
2.6500,20.000,10.000,427.2000,427.2000,0.000100,0
2.7000,24.000,12.000,441.6000,441.6000,0.000100,0
2.7500,26.000,13.000,427.2000,427.2000,0.000100,0
2.8000,20.000,10.000,444.0000,444.0000,0.000100,0
2.8500,26.000,13.000,429.6000,429.6000,0.000100,0
2.9000,26.000,13.000,417.6000,417.6000,0.000100,0
2.9500,20.000,10.000,451.2000,451.2000,0.000100,0
3.0000,26.000,13.000,417.6000,417.6000,0.000100,0
3.0500,22.000,11.000,417.6000,417.6000,0.000100,0
3.1000,22.000,11.000,456.0000,456.0000,0.000100,0
3.1500,28.000,14.000,408.0000,408.0000,0.000100,0
3.2000,20.000,10.000,444.0000,444.0000,0.000100,0
3.2500,22.000,11.000,427.2000,427.2000,0.000100,0
