t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
0.0000,56.000,28.000,164.8800,164.8800,0.000100,0
0.0500,64.000,32.000,264.9600,264.9600,0.000100,0
0.1000,64.000,32.000,336.0000,336.0000,0.000100,0
0.1500,60.000,30.000,340.0800,340.0800,0.000100,0
0.2000,60.000,30.000,336.4800,336.4800,0.000100,0
0.2500,56.000,28.000,338.1600,338.1600,0.000100,0
0.3000,50.000,25.000,337.6800,337.6800,0.000100,0
0.3500,48.000,24.000,340.3200,340.3200,0.000100,0
0.4000,50.000,25.000,336.0000,336.0000,0.000100,0
0.4500,50.000,25.000,340.8000,340.8000,0.000100,0
0.5000,48.000,24.000,335.5200,335.5200,0.000100,0
0.5500,54.000,27.000,225.8400,225.8400,0.000100,0
0.6000,48.000,24.000,31.6800,31.6800,0.000100,0
0.6500,58.000,29.000,131.7600,131.7600,0.000100,0
0.7000,58.000,29.000,235.6800,235.6800,0.000100,0
0.7500,54.000,27.000,405.6000,405.6000,0.000100,0
0.8000,50.000,25.000,402.9600,402.9600,0.000100,0
0.8500,50.000,25.000,401.7600,401.7600,0.000100,0
0.9000,52.000,26.000,457.6800,457.6800,0.000100,0
0.9500,52.000,26.000,413.5200,413.5200,0.000100,0
1.0000,52.000,26.000,428.4000,428.4000,0.000100,0
1.0500,46.000,23.000,444.9600,444.9600,0.000100,0
1.1000,52.000,26.000,428.1600,428.1600,0.000100,0
1.1500,52.000,26.000,445.2000,445.2000,0.000100,0
1.2000,50.000,25.000,426.9600,426.9600,0.000100,0
1.2500,50.000,25.000,444.7200,444.7200,0.000100,0
1.3000,46.000,23.000,428.6400,428.6400,0.000100,0
1.3500,50.000,25.000,444.2400,444.2400,0.000100,0
1.4000,52.000,26.000,420.2400,420.2400,0.000100,0
1.4500,52.000,26.000,452.6400,452.6400,0.000100,0
1.5000,50.000,25.000,418.5600,418.5600,0.000100,0
1.5500,50.000,25.000,414.2400,414.2400,0.000100,0
1.6000,52.000,26.000,452.6400,452.6400,0.000100,0
1.6500,50.000,25.000,416.8800,416.8800,0.000100,0
1.7000,50.000,25.000,427.6800,427.6800,0.000100,0
1.7500,48.000,24.000,445.2000,445.2000,0.000100,0
1.8000,58.000,29.000,428.4000,428.4000,0.000100,0
1.8500,50.000,25.000,443.7600,443.7600,0.000100,0
1.9000,54.000,27.000,426.7200,426.7200,0.000100,0
1.9500,50.000,25.000,444.7200,444.7200,0.000100,0
2.0000,52.000,26.000,420.0000,420.0000,0.000100,0
2.0500,50.000,25.000,453.1200,453.1200,0.000100,0
2.1000,50.000,25.000,416.8800,416.8800,0.000100,0
2.1500,50.000,25.000,416.1600,416.1600,0.000100,0
2.2000,50.000,25.000,456.2400,456.2400,0.000100,0
2.2500,50.000,25.000,417.8400,417.8400,0.000100,0
2.3000,52.000,26.000,428.6400,428.6400,0.000100,0
2.3500,48.000,24.000,444.0000,444.0000,0.000100,0
2.4000,54.000,27.000,428.4000,428.4000,0.000100,0
2.4500,48.000,24.000,444.9600,444.9600,0.000100,0
2.5000,52.000,26.000,427.6800,427.6800,0.000100,0
2.5500,52.000,26.000,444.4800,444.4800,0.000100,0
2.6000,46.000,23.000,416.6400,416.6400,0.000100,0
2.6500,50.000,25.000,454.0800,454.0800,0.000100,0
2.7000,50.000,25.000,417.3600,417.3600,0.000100,0
2.7500,52.000,26.000,418.5600,418.5600,0.000100,0
2.8000,52.000,26.000,453.6000,453.6000,0.000100,0
2.8500,52.000,26.000,418.0800,418.0800,0.000100,0
2.9000,52.000,26.000,405.3600,405.3600,0.000100,0
2.9500,52.000,26.000,374.4000,374.4000,0.000100,0
3.0000,50.000,25.000,361.2000,361.2000,0.000100,0
3.0500,50.000,25.000,373.2000,373.2000,0.000100,0
3.1000,46.000,23.000,360.7200,360.7200,0.000100,0
3.1500,50.000,25.000,374.1600,374.1600,0.000100,0
3.2000,50.000,25.000,359.7600,359.7600,0.000100,0
3.2500,46.000,23.000,391.9200,391.9200,0.000100,0
3.3000,52.000,26.000,399.1200,399.1200,0.000100,0
3.3500,50.000,25.000,438.0000,438.0000,0.000100,0
3.4000,50.000,25.000,400.5600,400.5600,0.000100,0
3.4500,52.000,26.000,404.4000,404.4000,0.000100,0
3.5000,50.000,25.000,435.6000,435.6000,0.000100,0
3.5500,50.000,25.000,402.2400,402.2400,0.000100,0
3.6000,50.000,25.000,409.9200,409.9200,0.000100,0
