t_s,rtt_ms,owd_ms,capacity_mbps,udp_sat_mbps,loss_p,reconfig
0.0000,100.000,50.000,241.6800,241.6800,0.000100,0
0.0500,100.000,50.000,272.6400,272.6400,0.000100,0
0.1000,106.000,53.000,385.9200,385.9200,0.000100,0
0.1500,106.000,53.000,402.7200,402.7200,0.000100,0
0.2000,108.000,54.000,436.8000,436.8000,0.000100,0
0.2500,98.000,49.000,403.2000,403.2000,0.000100,0
0.3000,100.000,50.000,427.6800,427.6800,0.000100,0
0.3500,98.000,49.000,412.0800,412.0800,0.000100,0
0.4000,104.000,52.000,428.4000,428.4000,0.000100,0
0.4500,98.000,49.000,413.0400,413.0400,0.000100,0
0.5000,102.000,51.000,428.8800,428.8800,0.000100,0
0.5500,98.000,49.000,412.3200,412.3200,0.000100,0
0.6000,98.000,49.000,402.0000,402.0000,0.000100,0
0.6500,104.000,52.000,439.2000,439.2000,0.000100,0
0.7000,104.000,52.000,403.2000,403.2000,0.000100,0
0.7500,98.000,49.000,403.4400,403.4400,0.000100,0
0.8000,98.000,49.000,438.4800,438.4800,0.000100,0
0.8500,102.000,51.000,402.7200,402.7200,0.000100,0
0.9000,98.000,49.000,429.6000,429.6000,0.000100,0
0.9500,100.000,50.000,412.0800,412.0800,0.000100,0
1.0000,98.000,49.000,430.0800,430.0800,0.000100,0
1.0500,100.000,50.000,411.6000,411.6000,0.000100,0
1.1000,100.000,50.000,429.8400,429.8400,0.000100,0
1.1500,104.000,52.000,412.5600,412.5600,0.000100,0
1.2000,112.000,56.000,429.1200,429.1200,0.000100,0
1.2500,100.000,50.000,412.3200,412.3200,0.000100,0
1.3000,98.000,49.000,402.2400,402.2400,0.000100,0
1.3500,100.000,50.000,439.6800,439.6800,0.000100,0
1.4000,102.000,51.000,400.0800,400.0800,0.000100,0
1.4500,104.000,52.000,405.1200,405.1200,0.000100,0
1.5000,100.000,50.000,437.0400,437.0400,0.000100,0
1.5500,98.000,49.000,404.6400,404.6400,0.000100,0
1.6000,100.000,50.000,429.1200,429.1200,0.000100,0
1.6500,100.000,50.000,412.8000,412.8000,0.000100,0
1.7000,104.000,52.000,430.0800,430.0800,0.000100,0
1.7500,100.000,50.000,412.8000,412.8000,0.000100,0
1.8000,102.000,51.000,429.3600,429.3600,0.000100,0
1.8500,102.000,51.000,412.8000,412.8000,0.000100,0
1.9000,100.000,50.000,403.2000,403.2000,0.000100,0
1.9500,100.000,50.000,439.4400,439.4400,0.000100,0
2.0000,104.000,52.000,401.7600,401.7600,0.000100,0
2.0500,100.000,50.000,404.8800,404.8800,0.000100,0
2.1000,100.000,50.000,437.5200,437.5200,0.000100,0
2.1500,104.000,52.000,405.3600,405.3600,0.000100,0
2.2000,98.000,49.000,429.8400,429.8400,0.000100,0
2.2500,100.000,50.000,412.5600,412.5600,0.000100,0
2.3000,104.000,52.000,430.0800,430.0800,0.000100,0
2.3500,100.000,50.000,413.0400,413.0400,0.000100,0
2.4000,100.000,50.000,430.0800,430.0800,0.000100,0
2.4500,104.000,52.000,412.8000,412.8000,0.000100,0
2.5000,100.000,50.000,402.9600,402.9600,0.000100,0
2.5500,102.000,51.000,440.1600,440.1600,0.000100,0
2.6000,104.000,52.000,402.7200,402.7200,0.000100,0
2.6500,98.000,49.000,404.8800,404.8800,0.000100,0
2.7000,108.000,54.000,437.5200,437.5200,0.000100,0
2.7500,104.000,52.000,404.6400,404.6400,0.000100,0
2.8000,100.000,50.000,430.0800,430.0800,0.000100,0
2.8500,100.000,50.000,412.0800,412.0800,0.000100,0
2.9000,102.000,51.000,430.5600,430.5600,0.000100,0
2.9500,100.000,50.000,412.8000,412.8000,0.000100,0
3.0000,98.000,49.000,430.0800,430.0800,0.000100,0
3.0500,102.000,51.000,422.8800,422.8800,0.000100,0
3.1000,100.000,50.000,450.2400,450.2400,0.000100,0
3.1500,102.000,51.000,430.0800,430.0800,0.000100,0
3.2000,104.000,52.000,415.6800,415.6800,0.000100,0
3.2500,100.000,50.000,459.1200,459.1200,0.000100,0
3.3000,102.000,51.000,407.7600,407.7600,0.000100,0
3.3500,104.000,52.000,411.1200,411.1200,0.000100,0
3.4000,100.000,50.000,447.8400,447.8400,0.000100,0
3.4500,102.000,51.000,430.0800,430.0800,0.000100,0
