t_s,rtt_ms,capacity_mbps,loss_p,reconfig
0.0000,35.000,70.0000,0.000500,0
0.0500,35.000,70.1783,0.000500,0
0.1000,35.000,70.3553,0.000500,0
0.1500,35.000,70.5297,0.000500,0
0.2000,35.000,70.7003,0.000500,0
0.2500,35.000,70.8659,0.000500,0
0.3000,35.000,71.0252,0.000500,0
0.3500,35.000,71.1771,0.000500,0
0.4000,35.000,71.3205,0.000500,0
0.4500,35.000,71.4543,0.000500,0
0.5000,35.000,71.5777,0.000500,0
0.5500,35.000,71.6897,0.000500,0
0.6000,35.000,71.7894,0.000500,0
0.6500,35.000,71.8763,0.000500,0
0.7000,35.000,71.9496,0.000500,0
0.7500,35.000,72.0088,0.000500,0
0.8000,35.000,72.0535,0.000500,0
0.8500,35.000,72.0834,0.000500,0
0.9000,35.000,72.0983,0.000500,0
0.9500,35.000,72.0979,0.000500,0
1.0000,35.000,72.0825,0.000500,0
1.0500,35.000,72.0520,0.000500,0
1.1000,35.000,72.0067,0.000500,0
1.1500,35.000,71.9469,0.000500,0
1.2000,35.000,71.8731,0.000500,0
1.2500,35.000,71.7857,0.000500,0
1.3000,35.000,71.6854,0.000500,0
1.3500,35.000,71.5730,0.000500,0
1.4000,35.000,71.4492,0.000500,0
1.4500,35.000,71.3149,0.000500,0
1.5000,35.000,71.1711,0.000500,0
1.5500,35.000,71.0189,0.000500,0
1.6000,35.000,70.8593,0.000500,0
1.6500,35.000,70.6936,0.000500,0
1.7000,35.000,70.5228,0.000500,0
1.7500,35.000,70.3482,0.000500,0
1.8000,35.000,70.1712,0.000500,0
1.8500,35.000,69.9928,0.000500,0
1.9000,35.000,69.8146,0.000500,0
1.9500,35.000,69.6377,0.000500,0
2.0000,35.000,69.4634,0.000500,0
2.0500,35.000,69.2929,0.000500,0
2.1000,35.000,69.1276,0.000500,0
2.1500,35.000,68.9686,0.000500,0
2.2000,35.000,68.8170,0.000500,0
2.2500,35.000,68.6740,0.000500,0
2.3000,35.000,68.5405,0.000500,0
2.3500,35.000,68.4176,0.000500,0
2.4000,35.000,68.3061,0.000500,0
2.4500,35.000,68.2068,0.000500,0
2.5000,35.000,68.1205,0.000500,0
2.5500,35.000,68.0478,0.000500,0
2.6000,35.000,67.9891,0.000500,0
2.6500,35.000,67.9450,0.000500,0
2.7000,35.000,67.9157,0.000500,0
