t_s,rtt_ms,capacity_mbps,loss_p,reconfig
0.0000,35.000,95.0000,0.000500,0
0.0500,35.000,95.2420,0.000500,0
0.1000,35.000,95.4822,0.000500,0
0.1500,35.000,95.7189,0.000500,0
0.2000,35.000,95.9504,0.000500,0
0.2500,35.000,96.1751,0.000500,0
0.3000,35.000,96.3913,0.000500,0
0.3500,35.000,96.5974,0.000500,0
0.4000,35.000,96.7921,0.000500,0
0.4500,35.000,96.9737,0.000500,0
0.5000,35.000,97.1411,0.000500,0
0.5500,35.000,97.2931,0.000500,0
0.6000,35.000,97.4285,0.000500,0
0.6500,35.000,97.5464,0.000500,0
0.7000,35.000,97.6459,0.000500,0
0.7500,35.000,97.7262,0.000500,0
0.8000,35.000,97.7869,0.000500,0
0.8500,35.000,97.8275,0.000500,0
0.9000,35.000,97.8476,0.000500,0
0.9500,35.000,97.8472,0.000500,0
1.0000,35.000,97.8262,0.000500,0
1.0500,35.000,97.7849,0.000500,0
1.1000,35.000,97.7234,0.000500,0
1.1500,35.000,97.6422,0.000500,0
1.2000,35.000,97.5420,0.000500,0
1.2500,35.000,97.4234,0.000500,0
1.3000,35.000,97.2873,0.000500,0
1.3500,35.000,97.1347,0.000500,0
1.4000,35.000,96.9667,0.000500,0
1.4500,35.000,96.7845,0.000500,0
1.5000,35.000,96.5894,0.000500,0
1.5500,35.000,96.3828,0.000500,0
1.6000,35.000,96.1663,0.000500,0
1.6500,35.000,95.9413,0.000500,0
1.7000,35.000,95.7095,0.000500,0
1.7500,35.000,95.4726,0.000500,0
1.8000,35.000,95.2323,0.000500,0
1.8500,35.000,94.9903,0.000500,0
1.9000,35.000,94.7484,0.000500,0
1.9500,35.000,94.5083,0.000500,0
2.0000,35.000,94.2717,0.000500,0
2.0500,35.000,94.0404,0.000500,0
2.1000,35.000,93.8160,0.000500,0
2.1500,35.000,93.6002,0.000500,0
2.2000,35.000,93.3945,0.000500,0
2.2500,35.000,93.2004,0.000500,0
2.3000,35.000,93.0193,0.000500,0
2.3500,35.000,92.8525,0.000500,0
2.4000,35.000,92.7011,0.000500,0
2.4500,35.000,92.5664,0.000500,0
2.5000,35.000,92.4493,0.000500,0
2.5500,35.000,92.3506,0.000500,0
2.6000,35.000,92.2710,0.000500,0
2.6500,35.000,92.2111,0.000500,0
2.7000,35.000,92.1713,0.000500,0
2.7500,35.000,92.1520,0.000500,0
2.8000,35.000,92.1532,0.000500,0
2.8500,35.000,92.1750,0.000500,0
2.9000,35.000,92.2172,0.000500,0
2.9500,35.000,92.2795,0.000500,0
3.0000,35.000,92.3614,0.000500,0
3.0500,35.000,92.4624,0.000500,0
3.1000,35.000,92.5817,0.000500,0
3.1500,35.000,92.7185,0.000500,0
3.2000,35.000,92.8717,0.000500,0
3.2500,35.000,93.0403,0.000500,0
3.3000,35.000,93.2231,0.000500,0
3.3500,35.000,93.4187,0.000500,0
3.4000,35.000,93.6257,0.000500,0
3.4500,35.000,93.8426,0.000500,0
3.5000,35.000,94.0679,0.000500,0
3.5500,35.000,94.2999,0.000500,0
3.6000,35.000,94.5370,0.000500,0
3.6500,35.000,94.7774,0.000500,0
