t_s,rtt_ms,capacity_mbps,cubic_goodput_mbps,loss_p,reconfig
0.0000,35.923,7.4365,7.4365,0.000000,0
0.0500,44.573,7.4365,7.4365,0.000000,0
0.1000,42.513,13.2780,13.2780,0.000000,0
0.1500,34.839,13.2780,13.2780,0.000000,0
0.2000,30.762,15.6220,15.6220,0.000000,0
0.2500,57.808,15.6220,15.6220,0.000000,0
0.3000,38.909,14.7991,14.7991,0.000000,0
0.3500,36.660,14.7991,14.7991,0.000000,0
0.4000,35.782,14.8738,14.8738,0.000000,0
0.4500,38.178,14.8738,14.8738,0.000000,0
0.5000,47.804,18.2513,18.2513,0.000000,0
0.5500,39.613,18.2513,18.2513,0.000000,0
0.6000,37.434,23.4272,23.4272,0.000000,0
0.6500,40.739,23.4272,23.4272,0.000000,0
0.7000,44.209,22.9797,22.9797,0.000000,0
0.7500,37.067,22.9797,22.9797,0.000000,0
0.8000,35.828,14.6392,14.6392,0.000000,0
0.8500,33.341,14.6392,14.6392,0.000000,0
0.9000,36.993,17.6410,17.6410,0.000000,0
0.9500,35.448,17.6410,17.6410,0.000000,0
1.0000,32.640,20.6026,20.6026,0.000000,0
1.0500,36.156,20.6026,20.6026,0.000000,0
1.1000,43.302,21.2915,21.2915,0.000000,0
1.1500,31.650,21.2915,21.2915,0.000000,0
1.2000,36.171,19.5483,19.5483,0.000000,0
1.2500,33.781,19.5483,19.5483,0.000000,0
1.3000,36.727,23.6268,23.6268,0.000000,0
1.3500,39.599,23.6268,23.6268,0.000000,0
1.4000,36.987,25.4399,25.4399,0.000000,0
1.4500,36.950,25.4399,25.4399,0.000000,0
1.5000,40.095,31.9148,31.9148,0.000000,0
1.5500,58.156,31.9148,31.9148,0.000000,0
1.6000,35.914,46.0520,46.0520,0.000000,0
1.6500,49.367,46.0520,46.0520,0.000000,0
1.7000,57.409,35.5877,35.5877,0.000000,0
1.7500,29.804,35.5877,35.5877,0.000000,0
1.8000,37.077,35.5000,35.5000,0.000000,0
1.8500,35.538,35.5000,35.5000,0.000000,0
1.9000,49.338,54.6282,54.6282,0.000000,0
1.9500,48.469,54.6282,54.6282,0.000000,0
2.0000,35.884,26.5841,26.5841,0.000000,0
2.0500,38.898,26.5841,26.5841,0.000000,0
2.1000,48.042,54.4057,54.4057,0.000000,0
2.1500,29.905,54.4057,54.4057,0.000000,0
2.2000,37.425,51.1883,51.1883,0.000000,0
